item_cd,market_group,n_obs,p_mean,obs_mean,p_sd,obs_sd,p_skew,obs_skew,p_min,obs_min,p_max,obs_max
231,11,16,0.476,8.349721643770794,0.378,1.0474088096202316,0.321,0.23162232037064073,0.119,7.300472814267799,0.78,9.62911649414402
231,21,11,0.465,8.592552235722657,0.358,0.9874494299482688,0.907,-0.6754100674797636,0.632,6.8885724595653635,0.888,9.305741456739435
231,22,10,0.452,8.749644323873934,0.406,0.9490004771311492,0.933,-0.8736685305661148,0.52,7.266128779556451,0.877,9.392745258631441
231,24,10,0.452,8.684818196717547,0.4,0.8795311979489582,0.937,-0.8515999617100051,0.488,7.3783837129967145,0.849,9.332646496360152
231,25,10,0.462,8.742440327886616,0.406,0.9647799746430734,0.931,-0.8475406823422305,0.492,7.307202314764738,0.817,9.53249633228804
232,11,16,0.493,8.477335251322312,0.555,0.6197845938353598,0.671,-0.19679232813114225,0.371,7.496097345175956,0.92,9.105090961257085
232,21,11,0.444,8.790567348502483,0.737,0.44014766357935825,0.868,-0.6176904161668633,0.277,8.134760782418645,0.942,9.105090961257085
232,22,10,0.45,8.726576511805035,0.824,0.36214351681688534,0.974,-1.0842652970315414,0.402,8.016647877057803,0.946,8.94389780251682
232,24,10,0.43,8.864554713354964,0.739,0.4392914488941811,0.971,-1.046832480297172,0.464,8.006700845440367,0.941,9.130322663990151
232,25,10,0.424,8.80684504803257,0.725,0.43986674580996316,0.971,-1.2024755448913524,0.558,7.8713112033234065,0.938,9.066585468331045
233,11,12,0.46,9.342391959981052,0.535,0.624964800346324,0.66,-0.23196989944123397,0.272,8.517393171418904,0.759,10.064798252418377
242,11,16,0.48,8.877253039282444,0.329,2.0079366627246222,0.307,0.24151008544180802,0.123,6.90875477931522,0.77,11.19822841866684
242,21,11,0.463,9.603372420427235,0.289,2.0903299266418296,0.853,-0.5730115539380355,0.487,6.710523109452428,0.844,11.211833885608513
242,22,10,0.45,9.815406428162708,0.296,1.9983077290025697,0.939,-0.8934714430185692,0.667,6.493753839851686,0.841,11.170449240431308
242,24,10,0.465,9.79500458002692,0.296,1.969748583739173,0.935,-0.8882788034670459,0.654,6.55250788703459,0.858,11.136062390867204
242,25,10,0.448,9.815995101453117,0.27,1.947905193761005,0.925,-0.878235728411065,0.654,6.698268054115413,0.818,11.187209175200515
243,11,15,0.481,9.099344559555714,0.325,1.7875944751053323,0.425,0.08680480861406611,0.254,6.985641817639208,0.75,11.214532906153606
243,21,11,0.478,9.647477741415319,0.313,1.7983600090713912,0.879,-0.6165985809871593,0.609,6.803505257608338,0.832,11.050905878263567
243,24,10,0.435,9.979523774247891,0.296,1.7900493955048722,0.971,-0.9787727992124546,0.771,6.647688373563329,0.88,11.131679686740132
245,11,16,0.482,8.666230197973917,0.373,1.1320574418617693,0.295,0.2244829403607648,0.16,7.415175109613295,0.845,9.90353755128617
245,21,11,0.485,8.954866637269273,0.384,1.018357608661541,0.852,-0.5862850448203032,0.469,7.467942332285852,0.907,9.686636660844938
245,22,10,0.468,9.189424583140978,0.396,0.9864393052675331,0.931,-0.912836459362706,0.605,7.565793282428515,0.899,9.798182590890704
245,24,10,0.445,9.188092406148112,0.393,0.9657281016399388,0.934,-0.8820148698398617,0.524,7.714677473800927,0.905,9.787009914477434
245,25,10,0.461,9.178343225610535,0.389,1.045788650976201,0.938,-0.919406502874237,0.649,7.390798521735676,0.903,9.841665338892785
246,11,16,0.475,9.110193101179123,0.805,0.3650683229604834,0.149,0.5075432871290229,0.222,8.511376306094673,0.567,9.846440897156853
246,21,11,0.465,8.959645044296296,0.913,0.3024338634515702,0.0,2.5727537183246225,0.021,8.764209507142004,0.324,9.846440897156853
246,22,10,0.462,9.061763001372714,0.997,0.16052394287796543,0.001,1.8891998937197079,0.02,8.939974177289633,0.779,9.472781556562168
246,24,10,0.571,8.726980008589038,0.995,0.17990900854078087,0.999,-1.7750113685642581,0.299,8.261268150577648,0.964,8.94389780251682
246,25,10,0.561,8.730009548407427,0.751,0.4298998203606153,0.003,1.6024798762121102,0.105,8.373553741214627,0.325,9.77229627684378
247,11,15,0.462,10.504221797613651,0.413,1.0150528314526168,0.565,-0.0762837448006453,0.327,9.082620630373812,0.853,11.51293546492023
247,21,11,0.46,10.790455053621763,0.387,0.9477317308738589,0.893,-0.672978183679537,0.547,9.287394001418473,0.891,11.461642696843066
247,22,10,0.478,10.874456548670413,0.416,0.8563820779060886,0.948,-0.9562811814052711,0.667,9.332646496360152,0.909,11.407576060361786
247,24,10,0.459,10.826122904850878,0.434,0.8072086687190106,0.948,-0.9474737624732175,0.611,9.392745258631441,0.891,11.321777065973317
247,25,10,0.461,10.712542437115122,0.436,0.7717273839874843,0.948,-0.9769340613574715,0.664,9.287394001418473,0.907,11.184435286790631
