"forecast_id","analysis_date","item_cd","market_group","horizon","forecast_mean","forecast_median","forecast_std","ci_lower","ci_upper","pi_lower","pi_upper","model_type","n_observations","pooling_level","created_at"
869,20260129,411,"38",1,45937.186138271616,39346.76699501184,27781.100053542385,12540.967979164789,115789.25644573673,12540.967979164789,115789.25644573673,empirical_bayes,3,partial,"2026-01-29 10:22:39"
870,20260129,411,"38",3,47574.573712943464,40174.08662571601,31487.98283369251,13071.860843072092,126543.19971163344,13071.860843072092,126543.19971163344,empirical_bayes,3,partial,"2026-01-29 10:22:39"
871,20260129,412,"11",1,57865.41684551422,41289.840801407045,62409.2451990907,8719.431165807146,199585.2145396702,8719.431165807146,199585.2145396702,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
872,20260129,412,"11",3,55416.26672164427,41716.42949933815,50833.28268278262,8574.025363942235,192091.39964256797,8574.025363942235,192091.39964256797,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
873,20260129,412,"11",7,57508.22578624473,41786.38810137421,54235.01316341796,9256.611221255227,201202.76654951123,9256.611221255227,201202.76654951123,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
874,20260129,412,"11",14,56035.14831878565,40917.30868513044,52579.06127341797,8883.559589351802,201509.10384100844,8883.559589351802,201509.10384100844,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
875,20260129,412,"21",1,64914.70170669872,44999.91623420482,73217.55336411955,8531.439734267107,251585.29434293558,8531.439734267107,251585.29434293558,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
876,20260129,412,"21",3,65431.221486329276,44015.355611956096,99807.66617198542,8611.92278409659,232867.08189681137,8611.92278409659,232867.08189681137,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
877,20260129,412,"21",7,66025.7153151867,43033.3425698124,87225.76708847177,7557.828176097573,252532.96065482375,7557.828176097573,252532.96065482375,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
878,20260129,412,"22",1,47514.61804583727,42318.38173272724,24680.73391404712,15834.942078894019,110115.41743064145,15834.942078894019,110115.41743064145,empirical_bayes,8,partial,"2026-01-29 10:22:39"
879,20260129,412,"22",3,47384.56051358354,40562.05044072388,26378.73994830803,15147.61953098096,111421.06975793255,15147.61953098096,111421.06975793255,empirical_bayes,8,partial,"2026-01-29 10:22:39"
880,20260129,412,"22",7,48319.05287042509,42354.987009461765,27098.75263043231,15833.815944168611,122078.16486856704,15833.815944168611,122078.16486856704,empirical_bayes,8,partial,"2026-01-29 10:22:39"
881,20260129,412,"24",1,50426.44915669658,41227.12323286164,34604.20085248659,12787.874893240094,145930.46759129586,12787.874893240094,145930.46759129586,empirical_bayes,9,partial,"2026-01-29 10:22:39"
882,20260129,412,"24",3,50579.99963118262,43349.560610783476,31403.849707001482,13809.968775178817,134142.5657947647,13809.968775178817,134142.5657947647,empirical_bayes,9,partial,"2026-01-29 10:22:39"
883,20260129,412,"24",7,49751.240317828466,41693.12153308958,30982.79153268107,13355.914305479739,131816.7919031742,13355.914305479739,131816.7919031742,empirical_bayes,9,partial,"2026-01-29 10:22:39"
884,20260129,412,"25",1,50251.83909403068,43135.095459772754,31171.956117380687,13711.645944806964,131733.12201726343,13711.645944806964,131733.12201726343,empirical_bayes,9,partial,"2026-01-29 10:22:39"
885,20260129,412,"25",3,51898.5335507541,43477.17965676225,32131.077210492575,13535.153453399105,137561.23700796312,13535.153453399105,137561.23700796312,empirical_bayes,9,partial,"2026-01-29 10:22:39"
886,20260129,412,"25",7,50328.39395472739,43132.348057477146,34406.125986224215,12811.659069008592,128747.91267704731,12811.659069008592,128747.91267704731,empirical_bayes,9,partial,"2026-01-29 10:22:39"
887,20260129,412,"31",1,45384.47006854973,40570.48853607781,21686.202648281338,15850.937493951655,100780.51346994995,15850.937493951655,100780.51346994995,empirical_bayes,6,partial,"2026-01-29 10:22:39"
888,20260129,412,"31",3,46268.282353200135,41996.43979866039,23206.119373187605,15016.21908257366,98974.1688916769,15016.21908257366,98974.1688916769,empirical_bayes,6,partial,"2026-01-29 10:22:39"
889,20260129,412,"37",1,45540.017269379874,40091.89105311893,23783.81590309157,17261.309367542595,116352.39541948118,17261.309367542595,116352.39541948118,empirical_bayes,3,partial,"2026-01-29 10:22:39"
890,20260129,412,"37",3,44910.59790370588,39820.597010040874,22817.537442735447,16021.367459235089,101873.05161653664,16021.367459235089,101873.05161653664,empirical_bayes,3,partial,"2026-01-29 10:22:39"
891,20260129,414,"11",1,23607.982711404344,19751.013605931286,16552.08010021607,6182.541567101639,64290.455603717084,6182.541567101639,64290.455603717084,hierarchical_normal,15,partial,"2026-01-29 10:22:39"
892,20260129,414,"11",3,23295.81162572224,19517.42974705356,15789.351139214383,6089.6357489449165,64207.576904457725,6089.6357489449165,64207.576904457725,hierarchical_normal,15,partial,"2026-01-29 10:22:39"
893,20260129,414,"11",7,23598.05534437463,19724.893461585016,15643.666428869528,6404.2133859927035,64588.58504439276,6404.2133859927035,64588.58504439276,hierarchical_normal,15,partial,"2026-01-29 10:22:39"
894,20260129,414,"11",14,23270.634171634654,19886.299607722278,14890.823200745726,6437.257926597326,60751.353516688294,6437.257926597326,60751.353516688294,hierarchical_normal,15,partial,"2026-01-29 10:22:39"
895,20260129,414,"21",1,21811.23636616611,17025.731351982948,17697.890728300605,4520.1951105285625,69589.90119523526,4520.1951105285625,69589.90119523526,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
896,20260129,414,"21",3,21166.136458080462,16280.821447915574,17638.494354906674,3986.5322491394686,67500.95043517817,3986.5322491394686,67500.95043517817,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
897,20260129,414,"21",7,21965.457800605407,16840.206282166153,21104.86277799762,4304.095777943399,67548.71810552668,4304.095777943399,67548.71810552668,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
898,20260129,414,"22",1,21877.671906930103,16536.318637557724,21342.186215061432,3924.9408904002325,74151.66373563971,3924.9408904002325,74151.66373563971,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
899,20260129,414,"22",3,22144.10715319744,16591.15698549328,22526.681946816047,3940.1135315367683,76369.28223757034,3940.1135315367683,76369.28223757034,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
900,20260129,414,"22",7,21323.221593160426,16710.037603092343,20899.331728859463,4027.2861036896356,68022.04143937974,4027.2861036896356,68022.04143937974,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
901,20260129,414,"24",1,22651.511000830433,17662.649036430637,19565.8592928103,4783.34428684433,70935.86121584842,4783.34428684433,70935.86121584842,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
902,20260129,414,"24",3,22922.924489447294,18143.50191975918,24333.82025134849,4587.130756420135,64467.225156504355,4587.130756420135,64467.225156504355,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
903,20260129,414,"24",7,22695.77863701441,18092.635313650964,18936.59264244701,4458.923101106696,67442.54101179056,4458.923101106696,67442.54101179056,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
904,20260129,414,"25",1,21652.597341981,16378.208035524256,21512.469709395285,4049.135609216714,71184.61328896339,4049.135609216714,71184.61328896339,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
905,20260129,414,"25",3,21482.564182124308,16749.511079021297,19230.87796797121,3873.225301460688,67043.77820643835,3873.225301460688,67043.77820643835,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
906,20260129,414,"25",7,22428.37723323529,16660.75065310148,31791.414826803943,3808.13832500553,73007.38490735079,3808.13832500553,73007.38490735079,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
907,20260129,414,"31",1,19577.329295017425,18747.893277275267,5600.3774402720255,10835.411477446964,32746.347276366567,10835.411477446964,32746.347276366567,empirical_bayes,6,partial,"2026-01-29 10:22:39"
908,20260129,414,"31",3,19966.312598676348,19139.337519138608,5950.405805118665,11330.32070893943,33196.99948615774,11330.32070893943,33196.99948615774,empirical_bayes,6,partial,"2026-01-29 10:22:39"
909,20260129,414,"37",1,21096.55969478744,19892.428336232886,7514.630581612581,10472.958913476386,40051.62316080778,10472.958913476386,40051.62316080778,empirical_bayes,3,partial,"2026-01-29 10:22:39"
910,20260129,414,"37",3,20322.427394033322,19082.75011565337,7374.825672168039,9820.528900151048,38989.591087567045,9820.528900151048,38989.591087567045,empirical_bayes,3,partial,"2026-01-29 10:22:39"
911,20260129,414,"38",1,20293.405640047284,19219.27132957401,6085.0015634012625,11078.049109903961,35151.89515195242,11078.049109903961,35151.89515195242,empirical_bayes,3,partial,"2026-01-29 10:22:39"
