"policy_id","analysis_date","item_cd","market_group","policy_type","horizon","lead_time","service_level","safety_stock_mean","safety_stock_std","reorder_point_mean","reorder_point_std","expected_cost_mean","expected_cost_std","fill_rate","model_version","created_at"
3749,20260129,319,"31",bayesian_newsvendor,1,1,0.95,641.0528884881778,364.9508941964324,2199.664898192328,364.9508941964324,112.66764414858899,1078.4587229506012,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3750,20260129,319,"31",bayesian_newsvendor,3,3,0.95,2152.101672541302,1156.0451129071998,6758.389748223721,667.4429571323232,349.5250065199829,3177.22211984338,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3751,20260129,319,"31",bayesian_newsvendor,3,7,0.95,5021.570569263038,2697.4385967834664,15769.57607918868,1019.5359577080123,815.5583485466268,7413.518279634554,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3752,20260129,319,"31",bayesian_newsvendor,3,14,0.95,10043.141138526076,5394.877193566933,31539.15215837736,1441.8415787177132,1631.1166970932536,14827.036559269109,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3753,20260129,319,"31",bayesian_newsvendor,1,1,0.99,1027.2653182478834,364.9508941964324,2585.8773279520337,364.9508941964324,112.66764414858899,1078.4587229506012,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3754,20260129,319,"31",bayesian_newsvendor,3,3,0.99,3088.608338153058,1156.0451129071998,7694.896413835477,667.4429571323232,349.5250065199829,3177.22211984338,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3755,20260129,319,"31",bayesian_newsvendor,3,7,0.99,7206.752789023805,2697.4385967834664,17954.758298949448,1019.5359577080123,815.5583485466268,7413.518279634554,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3756,20260129,319,"31",bayesian_newsvendor,3,14,0.99,14413.50557804761,5394.877193566933,35909.516597898895,1441.8415787177132,1631.1166970932536,14827.036559269109,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3757,20260129,319,"37",bayesian_newsvendor,1,1,0.9,450.6678616188017,341.9224647060171,1997.201192788086,341.9224647060171,104.25443151331805,1072.613073733376,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3758,20260129,319,"37",bayesian_newsvendor,3,3,0.9,1456.4893319860148,1068.3612241062212,6067.25356972985,616.8186403294849,332.115812891971,3189.810254912204,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3759,20260129,319,"37",bayesian_newsvendor,3,7,0.9,3398.4751079673697,2492.8428562478493,14156.924996036318,942.2060364565353,774.9368967479323,7442.8905947951425,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3760,20260129,319,"37",bayesian_newsvendor,3,14,0.9,6796.950215934739,4985.685712495699,28313.849992072635,1332.480555306631,1549.8737934958647,14885.781189590285,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3761,20260129,319,"37",bayesian_newsvendor,1,1,0.95,631.8922717453829,341.9224647060171,2178.4256029146673,341.9224647060171,104.25443151331805,1072.613073733376,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3762,20260129,319,"37",bayesian_newsvendor,3,3,0.95,1904.554085300767,1068.3612241062212,6515.318323044602,616.8186403294849,332.115812891971,3189.810254912204,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3763,20260129,319,"37",bayesian_newsvendor,3,7,0.95,4443.959532368457,2492.8428562478493,15202.409420437405,942.2060364565353,774.9368967479323,7442.8905947951425,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3764,20260129,319,"37",bayesian_newsvendor,3,14,0.95,8887.919064736914,4985.685712495699,30404.81884087481,1332.480555306631,1549.8737934958647,14885.781189590285,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3765,20260129,319,"37",bayesian_newsvendor,1,1,0.99,992.6935242488912,341.9224647060171,2539.2268554181755,341.9224647060171,104.25443151331805,1072.613073733376,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3766,20260129,319,"37",bayesian_newsvendor,3,3,0.99,3232.53280079898,1068.3612241062212,7843.297038542815,616.8186403294849,332.115812891971,3189.810254912204,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3767,20260129,319,"37",bayesian_newsvendor,3,7,0.99,7542.576535197624,2492.8428562478493,18301.026423266572,942.2060364565353,774.9368967479323,7442.8905947951425,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3768,20260129,319,"37",bayesian_newsvendor,3,14,0.99,15085.153070395249,4985.685712495699,36602.052846533144,1332.480555306631,1549.8737934958647,14885.781189590285,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3769,20260129,319,"38",bayesian_newsvendor,1,1,0.9,686.4658213849846,554.1942634903995,2266.924377627474,554.1942634903995,187.30215875010737,1075.1891660388562,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3770,20260129,319,"38",bayesian_newsvendor,3,3,0.9,2408.7461092571457,1824.9736946515561,7294.235113520931,1053.6490538710616,623.5841921832152,3285.7640556608876,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3771,20260129,319,"38",bayesian_newsvendor,3,7,0.9,5620.407588266669,4258.271954186964,17019.881931548836,1609.475515094248,1455.0297817608357,7666.78279654207,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3772,20260129,319,"38",bayesian_newsvendor,3,14,0.9,11240.815176533339,8516.543908373927,34039.76386309767,2276.1421017537086,2910.0595635216714,15333.56559308414,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3773,20260129,319,"38",bayesian_newsvendor,1,1,0.95,970.7575600756111,554.1942634903995,2551.2161163181004,554.1942634903995,187.30215875010737,1075.1891660388562,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3774,20260129,319,"38",bayesian_newsvendor,3,3,0.95,3429.9738124513915,1824.9736946515561,8315.462816715177,1053.6490538710616,623.5841921832152,3285.7640556608876,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3775,20260129,319,"38",bayesian_newsvendor,3,7,0.95,8003.272229053247,4258.271954186964,19402.746572335414,1609.475515094248,1455.0297817608357,7666.78279654207,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3776,20260129,319,"38",bayesian_newsvendor,3,14,0.95,16006.544458106495,8516.543908373927,38805.49314467083,2276.1421017537086,2910.0595635216714,15333.56559308414,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3777,20260129,319,"38",bayesian_newsvendor,1,1,0.99,1728.0633422637095,554.1942634903995,3308.521898506199,554.1942634903995,187.30215875010737,1075.1891660388562,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3778,20260129,319,"38",bayesian_newsvendor,3,3,0.99,5729.2309092442665,1824.9736946515561,10614.719913508052,1053.6490538710616,623.5841921832152,3285.7640556608876,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3779,20260129,319,"38",bayesian_newsvendor,3,7,0.99,13368.205454903284,4258.271954186964,24767.67979818545,1609.475515094248,1455.0297817608357,7666.78279654207,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3780,20260129,319,"38",bayesian_newsvendor,3,14,0.99,26736.410909806567,8516.543908373927,49535.3595963709,2276.1421017537086,2910.0595635216714,15333.56559308414,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3781,20260129,411,"11",bayesian_newsvendor,1,1,0.9,73808.2953642049,112613.54424588283,141609.72930164527,112613.54424588283,73462.66232061117,35145.264090607656,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3782,20260129,411,"11",bayesian_newsvendor,3,3,0.9,212032.68144898154,316962.00289629615,421465.3934252543,182998.09769505952,227607.90624270006,108989.05063844487,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3783,20260129,411,"11",bayesian_newsvendor,7,7,0.9,547989.9627535702,537572.9307212324,1005359.3838819329,203183.4694640765,436418.08521610295,253622.36129479445,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3784,20260129,411,"11",bayesian_newsvendor,14,14,0.9,1045826.657952642,1204650.9218707234,2008038.884937963,321956.50145011646,944245.8060852352,531908.6706745051,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3785,20260129,411,"11",bayesian_newsvendor,1,1,0.95,132032.11807057203,112613.54424588283,199833.55200801243,112613.54424588283,73462.66232061117,35145.264090607656,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3786,20260129,411,"11",bayesian_newsvendor,3,3,0.95,415022.4291707552,316962.00289629615,624455.141147028,182998.09769505952,227607.90624270006,108989.05063844487,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3787,20260129,411,"11",bayesian_newsvendor,7,7,0.95,973291.9181651953,537572.9307212324,1430661.3392935582,203183.4694640765,436418.08521610295,253622.36129479445,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3788,20260129,411,"11",bayesian_newsvendor,14,14,0.95,1944568.2904892466,1204650.9218707234,2906780.5174745675,321956.50145011646,944245.8060852352,531908.6706745051,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3789,20260129,411,"11",bayesian_newsvendor,1,1,0.99,327704.0208003256,112613.54424588283,395505.454737766,112613.54424588283,73462.66232061117,35145.264090607656,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3790,20260129,411,"11",bayesian_newsvendor,3,3,0.99,1083224.5064892066,316962.00289629615,1292657.2184654793,182998.09769505952,227607.90624270006,108989.05063844487,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3791,20260129,411,"11",bayesian_newsvendor,7,7,0.99,2045896.3897360917,537572.9307212324,2503265.8108644546,203183.4694640765,436418.08521610295,253622.36129479445,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3792,20260129,411,"11",bayesian_newsvendor,14,14,0.99,4599821.291121656,1204650.9218707234,5562033.518106977,321956.50145011646,944245.8060852352,531908.6706745051,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3793,20260129,411,"21",bayesian_newsvendor,1,1,0.9,84917.33693798476,146527.87877489664,166630.87189468788,146527.87877489664,94640.34697525304,41358.730469821385,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3794,20260129,411,"21",bayesian_newsvendor,3,3,0.9,259687.23395068385,350137.83411380224,503681.2011632229,202152.17277907624,278011.20713291946,124701.28773718374,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3795,20260129,411,"21",bayesian_newsvendor,7,7,0.9,616094.8661526556,793059.6018847867,1183588.193865059,299748.354491291,588941.1211363054,306234.02107320965,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3796,20260129,411,"21",bayesian_newsvendor,7,14,0.9,1232189.7323053111,1586119.2037695735,2367176.387730118,423908.18822060194,1177882.2422726108,612468.0421464193,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3797,20260129,411,"21",bayesian_newsvendor,1,1,0.95,154302.5010498535,146527.87877489664,236016.03600655662,146527.87877489664,94640.34697525304,41358.730469821385,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
